sprecher,situation,value,dialekt
OPR1,FG,1.5,Brandenburgian
OPR1,Interview,1.1,Brandenburgian
OPR1,Nordwind,0.8,Brandenburgian
OPR1,WS_Dialekt,1.1,Brandenburgian
OPR1,WS_Standard,0.7,Brandenburgian
OPRJUNG1,FG,1.6,Brandenburgian
OPRJUNG1,Interview,1.3,Brandenburgian
OPRJUNG1,Nordwind,1.1,Brandenburgian
OPRJUNG1,WS_Dialekt,1.2,Brandenburgian
OPRJUNG1,WS_Standard,0.8,Brandenburgian
LGALT1,FG,1.7,
LGALT1,Interview,1.1,
LGALT1,Nordwind,0.4,
LGALT1,WS_Dialekt,2.6,
LGALT1,WS_Standard,0.6,
LG5,FG,0.9,
LG5,Interview,1.0,
LG5,Nordwind,0.7,
LG5,WS_Dialekt,2.3,
LG5,WS_Standard,0.7,
LGJUNG1,FG,1.1,
LGJUNG1,Interview,1.0,
LGJUNG1,Nordwind,0.7,
LGJUNG1,WS_Dialekt,1.3,
LGJUNG1,WS_Standard,0.7,
CLPALT2,FG,2.3,Northern Low German
CLPALT2,Interview,1.8,Northern Low German
CLPALT2,Nordwind,1.0,Northern Low German
CLPALT2,WS_Dialekt,2.6,Northern Low German
CLPALT2,WS_Standard,1.0,Northern Low German
CLP3,FG,2.0,Northern Low German
CLP3,Interview,1.1,Northern Low German
CLP3,Nordwind,0.8,Northern Low German
CLP3,WS_Dialekt,2.3,Northern Low German
CLP3,WS_Standard,0.8,Northern Low German
CLPJUNG,FG,1.1,Northern Low German
CLPJUNG,Interview,1.0,Northern Low German
CLPJUNG,Nordwind,0.7,Northern Low German
CLPJUNG,WS_Dialekt,1.3,Northern Low German
CLPJUNG,WS_Standard,0.7,Northern Low German
HALT2,FG,1.7,
HALT2,Interview,0.9,
HALT2,Nordwind,0.7,
HALT2,WS_Dialekt,2.4,
HALT2,WS_Standard,0.6,
H10,FG,1.9,
H10,Interview,0.8,
H10,Nordwind,0.7,
H10,WS_Dialekt,2.1,
H10,WS_Standard,0.5,
HJUNG,FG,1.5,
HJUNG,Interview,1.3,
HJUNG,Nordwind,0.6,
HJUNG,WS_Dialekt,2.3,
HJUNG,WS_Standard,0.9,
BRBALT2,FG,1.9,Brandenburgian
BRBALT2,Interview,1.9,Brandenburgian
BRBALT2,Nordwind,1.2,Brandenburgian
BRBALT2,WS_Dialekt,1.3,Brandenburgian
BRBALT2,WS_Standard,1.1,Brandenburgian
BRB3,FG,1.8,Brandenburgian
BRB3,Interview,1.9,Brandenburgian
BRB3,Nordwind,1.0,Brandenburgian
BRB3,WS_Dialekt,1.5,Brandenburgian
BRB3,WS_Standard,1.0,Brandenburgian
BRBJUNG3,FG,1.4,Brandenburgian
BRBJUNG3,Interview,1.4,Brandenburgian
BRBJUNG3,Nordwind,1.4,Brandenburgian
BRBJUNG3,WS_Dialekt,1.1,Brandenburgian
BRBJUNG3,WS_Standard,1.1,Brandenburgian
SDLALT1,FG,1.9,Brandenburgian
SDLALT1,Interview,1.6,Brandenburgian
SDLALT1,Nordwind,1.4,Brandenburgian
SDLALT1,WS_Dialekt,1.4,Brandenburgian
SDLALT1,WS_Standard,1.5,Brandenburgian
SDL1,FG,1.2,Brandenburgian
SDL1,Interview,1.1,Brandenburgian
SDL1,Nordwind,1.4,Brandenburgian
SDL1,WS_Dialekt,1.1,Brandenburgian
SDL1,WS_Standard,1.1,Brandenburgian
SDLJUNG1,FG,2.1,
SDLJUNG1,Interview,1.9,
SDLJUNG1,Nordwind,1.3,
SDLJUNG1,WS_Dialekt,1.4,
SDLJUNG1,WS_Standard,1.2,
FWALT2,FG,1.6,
FWALT2,Interview,1.8,
FWALT2,Nordwind,1.2,
FWALT2,WS_Dialekt,1.4,
FWALT2,WS_Standard,1.1,
FW21,FG,1.4,
FW21,Interview,1.3,
FW21,Nordwind,0.7,
FW21,WS_Dialekt,1.1,
FW21,WS_Standard,0.8,
FWJUNG1,FG,1.5,
FWJUNG1,Interview,1.3,
FWJUNG1,Nordwind,1.1,
FWJUNG1,WS_Dialekt,1.2,
FWJUNG1,WS_Standard,0.9,
